Original,Furigana,Indonesia,JLPT Level
逆転,ぎゃくてん,"perubahan (mendadak), pembalikan, putaran",N1
脚本,きゃくほん,skenario,N1
華奢,きゃしゃ,"halus, ramping",N1
客観,きゃっかん,objektif,N1
キャッチ,キャッチ,menangkap,N1
キャリア,キャリア,"karier, pegawai negeri karier",N1
救援,きゅうえん,"bantuan, penyelamatan, bala bantuan",N1
休学,きゅうがく,"cuti sementara dari sekolah, skorsing",N1
究極,きゅうきょく,"ultimate, akhir, akhirnya",N1
窮屈,きゅうくつ,"sempit, ketat, formal",N1
球根,きゅうこん,umbi (tanaman),N1
救済,きゅうさい,"bantuan, pertolongan, penyelamatan",N1
給仕,きゅうじ,pelayan,N1
給食,きゅうしょく,"makan siang sekolah, menyediakan makanan",N1
休戦,きゅうせん,"gencatan senjata, gencatan senjata",N1
宮殿,きゅうでん,istana,N1
旧知,きゅうち,"teman lama, persahabatan lama",N1
窮乏,きゅうぼう,kemiskinan,N1
寄与,きよ,"kontribusi, layanan",N1
強,きょう,kuat,N1
～狂,～きょう,"maniak, penggemar, aneh",N1
驚異,きょうい,"keajaiban, mukjizat",N1
教科,きょうか,"mata pelajaran, kurikulum",N1
協会,きょうかい,"asosiasi, masyarakat, organisasi",N1
共学,きょうがく,pendidikan bersama,N1
共感,きょうかん,"simpati, respons",N1
境遇,きょうぐう,"lingkungan, keadaan",N1
教訓,きょうくん,"pelajaran, ajaran, instruksi moral",N1
強行,きょうこう,"pemaksaan, penegakan",N1
強硬,きょうこう,"tegas, kuat, keras kepala",N1
教材,きょうざい,materi pengajaran,N1
凶作,きょうさく,"panen buruk, hasil panen yang buruk",N1
業者,ぎょうしゃ,"pedagang, saudagar",N1
教習,きょうしゅう,"pelatihan, instruksi",N1
郷愁,きょうしゅう,"nostalgia, rindu kampung halaman",N1
教職,きょうしょく,profesi mengajar,N1
興じる,きょうじる,"menghibur diri, bersenang-senang",N1
強制,きょうせい,"kewajiban, paksaan, penegakan",N1
行政,ぎょうせい,administrasi,N1
業績,ぎょうせき,"prestasi, karya, kontribusi",N1
共存,きょうぞん,koeksistensi,N1
協定,きょうてい,"pengaturan, pakta, perjanjian",N1
郷土,きょうど,tanah air,N1
脅迫,きょうはく,"ancaman, paksaan",N1
業務,ぎょうむ,"bisnis, tugas, pekerjaan",N1
共鳴,きょうめい,"resonansi, simpati",N1
郷里,きょうり,"tempat lahir, kampung halaman",N1
強烈,きょうれつ,"kuat, intens, parah",N1
共和,きょうわ,"republikanisme, kerja sama",N1
局限,きょくげん,"membatasi, melokalisasi",N1
極端,きょくたん,"ekstrem, ekstremitas",N1
居住,きょじゅう,tempat tinggal,N1
拒絶,きょぜつ,"penolakan, penolakan",N1
漁船,ぎょせん,perahu nelayan,N1
漁村,ぎょそん,desa nelayan,N1
拒否,きょひ,"penolakan, penolakan, penolakan",N1
許容,きょよう,"izin, pengampunan",N1
清らか,きよらか,"bersih, murni, suci",N1
きらびやか,きらびやか,"indah, mencolok, mempesona",N1
～きり,～きり,hanya,N1
義理,ぎり,"hutang budi, kewajiban",N1
切替,きりかえ,"pertukaran, konversi, peralihan",N1
気流,きりゅう,arus atmosfer,N1
切れ目,きれめ,"jeda, jeda, celah",N1
疑惑,ぎわく,"keraguan, was-was, kecurigaan",N1
極めて,きわめて,"sangat, sangat (ekspresi tertulis)",N1
近眼,きんがん,rabun jauh,N1
緊急,きんきゅう,"mendesak, mendesak, darurat",N1
近郊,きんこう,"pinggiran kota, pinggiran",N1
均衡,きんこう,"keseimbangan, keseimbangan",N1
禁じる,きんじる,melarang,N1
勤勉,きんべん,"industri, ketekunan",N1
吟味,ぎんみ,"pemeriksaan, penyelidikan yang cermat",N1
勤務,きんむ,"dinas, tugas, pekerjaan",N1
禁物,きんもつ,"tabu, hal terlarang",N1
勤労,きんろう,"tenaga kerja, pengerahan tenaga, pelayanan yang rajin",N1
クイズ,クイズ,kuis,N1
食い違う,くいちがう,"bersilangan, berbeda",N1
空間,くうかん,"ruang, kamar, ruang udara",N1
空腹,くうふく,kelaparan,N1
区画,くかく,"pembagian, bagian, area",N1
区間,くかん,bagian,N1
茎,くき,batang,N1
区切り,くぎり,"akhir, berhenti, tanda baca",N1
くぐる,くぐる,melewati; berkeliling,N1
くじ (～をひく),くじ (～をひく),"lotere, undian",N1
くじびき,くじびき,"lotere, undian yang ditarik",N1
くすぐったい,くすぐったい,geli,N1
愚痴,ぐち,"keluhan kosong, menggerutu",N1
口吟む,くちずさむ,merendahkan diri,N1
嘴,くちばし,"paruh, paruh",N1
朽ちる,くちる,membusuk,N1
覆す,くつがえす,"menggulingkan, menjungkirbalikkan, menggulingkan",N1
くっきり,くっきり,"jelas, jelas, tebal",N1
屈折,くっせつ,"pembengkokan, lekukan, pembiasan",N1
ぐっと,ぐっと,"tegas, cepat, lebih",N1
首飾り,くびかざり,kalung,N1
首輪,くびわ,"kalung, choker",N1
組み込む,くみこむ,"memasukkan, menyertakan, memotong (dalam pencetakan)",N1
組み合わせる,くみあわせる,"menggabungkan, mengkombinasikan, menyatukan",N1
蔵,くら,"gudang, ruang bawah tanah",N1
グレー,グレー,"abu-abu",N1
クレーン,クレーン,derek,N1
玄人,くろうと,"ahli, profesional",N1
黒字,くろじ,saldo (angka) dalam warna hitam,N1
軍艦,ぐんかん,"kapal perang, kapal tempur",N1
軍事,ぐんじ,urusan militer,N1
君主,くんしゅ,"penguasa, monarki",N1
群集,ぐんしゅう,"kelompok (sosial), kerumunan, massa",N1
群衆,ぐんしゅう,"kelompok (sosial), kerumunan, massa",N1
軍備,ぐんび,"persenjataan, persiapan militer",N1
軍服,ぐんぷく,seragam militer atau angkatan laut,N1
芸,げい,"seni, prestasi, pertunjukan",N1
経過,けいか,"bagian, kemajuan",N1
軽快,けいかい,"hidup, santai, ringan",N1
警戒,けいかい,"peringatan, teguran, kewaspadaan",N1
敬具,けいぐ,Hormat kami (digunakan di akhir surat),N1
軽減,けいげん,"pengurangan, pengurangan",N1
掲載,けいさい,"penampilan (misalnya, artikel di koran)",N1
傾斜,けいしゃ,"kemiringan, lereng, kemiringan",N1
形成,けいせい,pembentukan,N1
形勢,けいせい,"kondisi, situasi, prospek",N1
軽率,けいそつ,"gegabah, ceroboh, tergesa-gesa",N1
刑罰,けいばつ,"penghakiman, hukuman, hukuman",N1
経費,けいひ,"pengeluaran, biaya, pengeluaran",N1
警部,けいぶ,inspektur polisi,N1
転換,てんかん,"mengubah, mengalihkan",N1
転居,てんきょ,"pindah, berganti tempat tinggal",N1
転勤,てんきん,transfer (ke kantor lain perusahaan),N1
点検,てんけん,"inspeksi, pemeriksaan, pengecekan",N1
電源,でんげん,"sumber listrik, daya (misalnya, tombol di TV)",N1
天国,てんごく,"surga, surga, Kerajaan Surga",N1
天才,てんさい,seorang jenius,N1
天災,てんさい,"bencana alam, bencana",N1
展示,てんじ,"pameran, pajangan",N1
伝説,でんせつ,"tradisi, legenda, cerita rakyat",N1
点線,てんせん,garis putus-putus,N1
転じる,てんじる,"berbalik, bergeser",N1
転ずる,てんずる,"berbalik, bergeser",N1
天体,てんたい,benda langit,N1
伝達,でんたつ,"transmisi (misalnya berita, komunikasi, pengiriman)",N1
天地,てんち,"langit dan bumi, alam semesta",N1
てんで,てんで,"(tidak) sama sekali, sama sekali, seluruhnya",N1
転任,てんにん,pindah jabatan,N1
展望,てんぼう,"pemandangan, pandangan, prospek",N1
伝来,でんらい,"warisan leluhur, turun-temurun, impor",N1
転落,てんらく,"jatuh, degradasi",N1
問い合わせる,といあわせる,"menanyakan, mencari informasi",N1
当～,とう～,"~ kami (misalnya Hotel, pesawat, dll.)",N1
胴,どう,"batang tubuh, badan, rangka",N1
同意,どうい,"persetujuan, persetujuan; arti yang sama",N1
動員,どういん,mobilisasi,N1
同感,どうかん,"persetujuan, pendapat yang sama, perasaan yang sama",N1
陶器,とうき,"tembikar, keramik",N1
討議,とうぎ,"debat, diskusi",N1
動機,どうき,"motif, insentif",N1
等級,とうきゅう,"tingkat, kelas",N1
同級,どうきゅう,"tingkat yang sama, kelas yang sama",N1
同居,どうきょ,tinggal bersama,N1
登校,とうこう,kehadiran (di sekolah),N1
統合,とうごう,"integrasi, penyatuan, sintesis",N1
動向,どうこう,"tren, kecenderungan, gerakan, sikap",N1
投資,とうし,investasi,N1
同情,どうじょう,"simpati, kasih sayang, bersimpati",N1
道場,どうじょう,"(kuno) dojo, aula yang digunakan untuk latihan seni bela diri, mandala",N1
統制,とうせい,"regulasi, kontrol",N1
当選,とうせん,"terpilih, memenangkan hadiah",N1
逃走,とうそう,"penerbangan, desersi, pelarian",N1
統率,とうそつ,"komando, kepemimpinan umum, kepemimpinan",N1
到達,とうたつ,"mencapai, mencapai, kedatangan",N1
統治,とうち,"memerintah, memerintah, memerintah",N1
仕切る,しきる,"mempartisi, membagi, menandai",N1
資金,しきん,"dana, modal",N1
軸,じく,"sumbu, batang, poros",N1
しくじる,しくじる,"gagal, gagal, melakukan kesalahan",N1
仕組,しくみ,"struktur, mekanisme",N1
死刑,しけい,hukuman mati,N1
湿気る,しける,"menjadi lembab, menjadi basah",N1
施行,しこう,"penegakan, operasi",N1
思考,しこう,pikiran,N1
志向,しこう,"niat, tujuan",N1
嗜好,しこう,"rasa, kesukaan, preferensi",N1
事項,じこう,"hal(-hal), item(-item), fakta",N1
時刻表,じこくひょう,"jadwal, jadwal (kereta)",N1
地獄,じごく,neraka,N1
時差,じさ,perbedaan waktu,N1
自在,じざい,"bebas, sesuka hati",N1
視察,しさつ,"inspeksi, observasi",N1
資産,しさん,"properti, kekayaan, aset",N1
支持,しじ,dukungan,N1
自主,じしゅ,"kemerdekaan, otonomi",N1
自首,じしゅ,"menyerah, menyerahkan diri",N1
刺繍,ししゅう,bordir,N1
市場,しじょう,pasar (sebagai konsep),N1
辞職,じしょく,pengunduran diri,N1
雫,しずく,tetesan (air),N1
システム,システム,sistem,N1
沈める,しずめる,"menenggelamkan, menenggelamkan",N1
施設,しせつ,"pendirian, fasilitas",N1
事前,じぜん,"sebelumnya, sebelumnya, di muka",N1
子息,しそく,putra (hormat),N1
持続,じぞく,"kelanjutan, daya tahan",N1
自尊心,じそんしん,"harga diri, kesombongan",N1
慕う,したう,merindukan untuk memuja,N1
下心,したごころ,"niat rahasia, motif",N1
下地,したじ,"dasar, pondasi",N1
親しむ,したしむ,"menjadi akrab dengan, berteman",N1
下調べ,したしらべ,penyelidikan awal,N1
愛想,あいそう,kemasyarakatan,N1
間柄,あいだがら,hubungan,N1
合間,あいま,selang waktu,N1
敢えて,あえて,"berani (melakukan), memberanikan diri (melakukan), menantang (melakukan)",N1
仰ぐ,あおぐ,"memandang (ke), menghormati; meminta",N1
垢,あか,"kotoran, najis",N1
赤字,あかじ,"defisit, merugi",N1
明かす,あかす,mengungkapkan; begadang,N1
赤らむ,あからむ,"menjadi merah, memerah",N1
上がり,あがり,"kenaikan; pendapatan; penyelesaian, berhenti",N1
諦め,あきらめ,"pengunduran diri, rekonsiliasi, penghiburan",N1
アクセル,アクセル,(singkatan) akselerator,N1
あくどい,あくどい,mencolok jahat,N1
顎,あご,dagu,N1
憧れ,あこがれ,"kerinduan, kerinduan, aspirasi",N1
麻,あさ,rami,N1
あざ,あざ,"tahi lalat, memar",N1
浅ましい,あさましい,"memalukan, keji, hina",N1
欺く,あざむく,menipu,N1
鮮やか,あざやか,"hidup, jelas",N1
嘲笑う,あざわらう,"mencibir, menertawakan",N1
悪しからず,あしからず,"jangan salah sangka, tapi..., maafkan saya",N1
味わい,あじわい,"rasa, kelezatan",N1
焦る,あせる,"terburu-buru, tidak sabar",N1
あせる (こえが～),あせる (こえが～),"memudar, berubah warna",N1
値,あたい,"nilai, harga, harga",N1
値する,あたいする,"berharga, pantas",N1
悪化,あっか,"kemunduran, memburuk",N1
扱い,あつかい,"perlakuan, pelayanan",N1
呆気ない,あっけない,"tidak cukup, terlalu cepat (pendek, panjang, dll.)",N1
あっさり,あっさり,"mudah, siap, cepat",N1
斡旋,あっせん,"jasa baik, mediasi",N1
圧倒,あっとう,"menguasai, mengalahkan",N1
圧迫,あっぱく,"tekanan, paksaan, penindasan",N1
あつらえる,あつらえる,"memberi pesanan, memesan",N1
圧力,あつりょく,"stres, tekanan",N1
当て,あて,harapan; tergantung,N1
～宛,～あて,"untuk…(misalnya, dalam surat)",N1
当て字,あてじ,"karakter fonetik-ekuivalen, karakter pengganti",N1
跡継ぎ,あとつぎ,"pewaris, penerus",N1
後回し,あとまわし,"menunda, menunda",N1
油絵,あぶらえ,lukisan cat minyak,N1
アプローチ,アプローチ,pendekatan (dalam golf),N1
あべこべ,あべこべ,"sebaliknya, berlawanan, terbalik",N1
甘える,あまえる,"bertingkah seperti anak manja, merayu",N1
雨具,あまぐ,perlengkapan hujan,N1
甘口,あまくち,rasa manis,N1
アマチュア,アマチュア,amatir,N1
網,あみ,jaring,N1
操る,あやつる,"memanipulasi, mengoperasikan, menarik tali",N1
危ぶむ,あやぶむ,"takut, was-was, ragu-ragu",N1
あやふや,あやふや,"tidak pasti, samar-samar, ambigu",N1
過ち,あやまち,"kesalahan, kekeliruan, kecerobohan",N1
誤る,あやまる,melakukan kesalahan,N1
歩み,あゆみ,"langkah, kemajuan, sejarah",N1
歩む,あゆむ,berjalan,N1
予め,あらかじめ,"di muka, sebelumnya",N1
荒らす,あらす,merusak; menyerbu,N1
争い,あらそい,"perselisihan, pertengkaran, konflik",N1
改まる,あらたまる,diperbarui; menjadi formal,N1
荒っぽい,あらっぽい,"kasar, tidak sopan",N1
アラブ,アラブ,Arab,N1
霰,あられ,"hujan es (misalnya, bola es yang jatuh)",N1
有り様,ありさま,"keadaan, kondisi",N1
ありのまま,ありのまま,"kebenaran, apa adanya, terus terang",N1
ありふれる,ありふれる,"biasa, biasa, rutin",N1
アルカリ,アルカリ,alkali,N1
アルミ,アルミ,"aluminium (Al)",N1
アワー,アワー,jam,N1
合わす,あわす,"menggabungkan, menghadapi, menyatukan",N1
～合せ,～あわせ,secara keseluruhan,N1
アンコール,アンコール,encore,N1
暗殺,あんさつ,pembunuhan,N1
暗算,あんざん,hitung mental,N1
暗示,あんじ,"petunjuk, saran",N1
案じる,あんじる,"cemas, merenungkan",N1
安静,あんせい,istirahat,N1
案の定,あんのじょう,"sudah pasti, seperti biasa",N1
いい加減,いいかげん,"acak, tidak bertanggung jawab",N1
言い訳,いいわけ,"alasan, penjelasan",N1
イェス,イェス,ya; Yesus,N1
家出,いえで,kabur dari rumah,N1
生かす,いかす,menjaga sesuatu tetap hidup; memanfaatkan,N1
いかに,いかに,"bagaimana, dengan cara apa",N1
いかにも,いかにも,sungguh (sama dengan 実に (じつに)),N1
異議,いぎ,"keberatan, perbedaan pendapat, protes",N1
生き甲斐,いきがい,"sesuatu yang menjadi tujuan hidup, sangat penting",N1
行き違い,いきちがい,"kesalahpahaman, perselisihan",N1
意気込む,いきごむ,bersemangat tentang,N1
育成,いくせい,"pemeliharaan, pelatihan, budidaya",N1
幾多,いくた,"banyak, banyak sekali",N1
"(花を〜) 生ける, 活ける",(はなを～) いける,merangkai (bunga),N1
異見,いけん,"pendapat berbeda, keberatan",N1
意向,いこう,"niat, ide, kecenderungan",N1
移行,いこう,beralih ke,N1
いざ,いざ,"sekarang, ayo (sekarang), saat genting",N1
移住,いじゅう,"migrasi, imigrasi",N1
衣装,いしょう,"pakaian, kostum, pakaian",N1
いじる,いじる,"menyentuh, mengutak-atik",N1
異性,いせい,lawan jenis,N1
遺跡,いせき,reruntuhan bersejarah,N1
依存,いぞん,"ketergantungan, tergantung, mengandalkan",N1
委託,いたく,"mengirimkan (barang (untuk dijual) ke perusahaan), mempercayakan",N1
いたって,いたって,"sangat, sangat sekali, sangat",N1
出世,しゅっせ,"promosi, karier yang sukses, keunggulan",N1
出題,しゅつだい,mengajukan pertanyaan,N1
出動,しゅつどう,"mobilisasi, tindakan",N1
出費,しゅっぴ,"pengeluaran, pengeluaran",N1
出品,しゅっぴん,"pameran, pajangan",N1
主導,しゅどう,kepemimpinan utama,N1
主任,しゅにん,"penanggung jawab, pejabat yang bertanggung jawab",N1
首脳,しゅのう,"kepala, pemimpin",N1
守備,しゅび,pertahanan,N1
手法,しゅほう,teknik,N1
樹木,じゅもく,"pohon dan semak, punjung",N1
樹立,じゅりつ,"mendirikan, menciptakan",N1
準急,じゅんきゅう,"ekspres lokal (kereta, lebih lambat dari ekspres)",N1
準じる,じゅんじる,"mengikuti, menyesuaikan diri, berlaku untuk",N1
～署,～しょ,departemen,N1
～症,～しょう,penyakit,N1
～証,～しょう,"bukti, sertifikat",N1
～嬢,～じょう,wanita muda,N1
上位,じょうい,"unggul, tingkat yang lebih tinggi",N1
上演,じょうえん,pertunjukan seni,N1
城下,じょうか,tanah dekat kastil,N1
消去,しょうきょ,"penghapusan, penghapusan",N1
上空,じょうくう,"langit, langit ketinggian tinggi, udara atas",N1
衝撃,しょうげき,"kejutan, tabrakan, benturan, balistik",N1
証言,しょうげん,"bukti, kesaksian",N1
証拠,しょうこ,"bukti, bukti",N1
照合,しょうごう,"pemeriksaan, verifikasi",N1
詳細,しょうさい,"detail, keterangan",N1
上昇,じょうしょう,"naik, menanjak, mendaki",N1
昇進,しょうしん,promosi,N1
称する,しょうする,"mengambil nama, menyebut diri sendiri",N1
情勢,じょうせい,"keadaan, kondisi, situasi",N1
消息,しょうそく,"berita, surat, keadaan",N1
承諾,しょうだく,"persetujuan, persetujuan",N1
情緒,じょうちょ,"emosi, perasaan",N1
情緒,じょうしょ,"emosi, perasaan",N1
象徴,しょうちょう,simbol,N1
小児科,しょうにか,pediatri,N1
使用人,しようにん,"karyawan, pelayan",N1
情熱,じょうねつ,"gairah, antusiasme, semangat",N1
譲歩,じょうほ,"konsesi, konsiliasi, kompromi",N1
条約,じょうやく,"perjanjian, pakta",N1
勝利,しょうり,"kemenangan, kemenangan, menang",N1
上陸,じょうりく,"pendaratan, turun dari kapal",N1
蒸溜,じょうりゅう,distilasi,N1
奨励,しょうれい,"dorongan, promosi",N1
ショー,ショー,pertunjukan,N1
除外,じょがい,"pengecualian, pengecualian",N1
職員,しょくいん,"anggota staf, personel",N1
植民地,しょくみんち,koloni,N1
職務,しょくむ,tugas profesional,N1
諸君,しょくん,"Tuan-tuan!, Nyonya-nyonya!",N1
助言,じょげん,"nasihat, saran",N1
徐行,じょこう,berjalan pelan,N1
所在,しょざい,keberadaan,N1
所持,しょじ,"kepemilikan, memiliki",N1
所属,しょぞく,"terikat pada, milik",N1
処置,しょち,perawatan,N1
しょっちゅう,しょっちゅう,"selalu, terus-menerus",N1
所定,しょてい,"tetap, ditentukan",N1
所得,しょとく,pendapatan,N1
処罰,しょばつ,hukuman,N1
初版,しょはん,edisi pertama,N1
書評,しょひょう,ulasan buku,N1
処分,しょぶん,"pembuangan, penanganan, hukuman",N1
庶民,しょみん,"massa, rakyat jelata",N1
庶務,しょむ,urusan umum,N1
所有,しょゆう,"milik seseorang, kepemilikan",N1
調べ,しらべ,"penyelidikan, inspeksi",N1
自立,じりつ,"kemerdekaan, kemandirian",N1
記す,しるす,"mencatat, menulis",N1
指令,しれい,"perintah, instruksi, arahan",N1
～心,～しん,pikiran ~,N1
陣,じん,"formasi pertempuran, kamp, ​​perkemahan",N1
進化,しんか,"evolusi, kemajuan",N1
人格,じんかく,"kepribadian, karakter",N1
審議,しんぎ,musyawarah,N1
新婚,しんこん,pengantin baru,N1
審査,しんさ,"penilaian, inspeksi, pemeriksaan",N1
人材,じんざい,orang berbakat,N1
紳士,しんし,tuan-tuan,N1
真実,しんじつ,"kebenaran, kenyataan",N1
信者,しんじゃ,"orang percaya, pemuja",N1
真珠,しんじゅ,mutiara,N1
進出,しんしゅつ,kemajuan,N1
心情,しんじょう,mentalitas,N1
新人,しんじん,"wajah baru, pendatang baru",N1
神聖,しんせい,"kesucian, kesakralan, martabat",N1
親善,しんぜん,persahabatan,N1
真相,しんそう,"kebenaran, situasi sebenarnya",N1
迅速,じんそく,"cepat, cepat, cepat",N1
人体,じんたい,tubuh manusia,N1
新築,しんちく,"bangunan baru, konstruksi baru",N1
心中,しんじゅう,bunuh diri ganda,N1
進呈,しんてい,presentasi,N1
進展,しんてん,"kemajuan, perkembangan",N1
神殿,しんでん,"kuil, tempat suci",N1
進度,しんど,kemajuan,N1
振動,しんどう,"osilasi, getaran",N1
新入生,しんにゅうせい,"siswa baru, siswa tahun pertama, mahasiswa baru",N1
信任,しんにん,"kepercayaan, keyakinan, kepercayaan",N1
神秘,しんぴ,misteri,N1
辛抱,しんぼう,"kesabaran, daya tahan",N1
人民,じんみん,"rakyat, publik",N1
侵略,しんりゃく,"agresi, invasi, serangan",N1
診療,しんりょう,pemeriksaan dan perawatan medis,N1
粋,すい,esensi,N1
水源,すいげん,sumber sungai,N1
推進,すいしん,"pendorongan, tenaga penggerak",N1
吹奏,すいそう,memainkan alat musik tiup,N1
推測,すいそく,"tebakan, dugaan",N1
水田,すいでん,sawah (berisi air),N1
推理,すいり,"penalaran, kesimpulan, misteri atau genre detektif",N1
数詞,すうし,angka,N1
崇拝,すうはい,"pemujaan, pemujaan",N1
据え付ける,すえつける,"memasang, melengkapi, memasang",N1
据える,すえる,"mengatur, meletakkan, menempatkan",N1
すがすがしい,すがすがしい,"segar, menyegarkan",N1
救い,すくい,"bantuan, pertolongan, bantuan",N1
すくう (みずを～),すくう (みずを～),menyendok,N1
健やか,すこやか,"kuat, sehat, sehat",N1
濯ぐ,すすぐ,"membilas, mencuci",N1
進み,すすみ,kemajuan,N1
裾,すそ,"manset (celana), keliman (rok), potongan tepi rambut",N1
スタジオ,スタジオ,studio,N1
スチーム,スチーム,uap,N1
ストライキ,ストライキ,mogok,N1
スト,スト,(singkatan) mogok,N1
ストロー,ストロー,sedotan,N1
ストロボ,ストロボ,"stroboskop (secara harfiah: strobo, lampu strobo, lampu stroboskopik)",N1
すばしこい,すばしこい,"lincah, pintar, cepat",N1
素早い,すばやい,"cepat, cepat",N1
ずばり,ずばり,"dengan tegas, tanpa pamrih, terus terang",N1
スプリング,スプリング,pegas,N1
スペース,スペース,ruang,N1
ずぶぬれ,ずぶぬれ,"basah kuyup, basah kuyup",N1
スポーツカー,スポーツカー,mobil sport,N1
澄ます,すます,"menjernihkan, membuat jernih, mendengarkan",N1
清ます,すます,"menjernihkan, membuat jernih, mendengarkan",N1
済ます,すます,menyelesaikan; membereskan; melakukan tanpa,N1
すみやか,すみやか,cepat,N1
スラックス,スラックス,celana panjang,N1
ずらっと,ずらっと,"berbaris, berderet",N1
ずるずる,ずるずる,"berlarut-larut, suara mengendus",N1
ずれ,ずれ,"perbedaan, celah",N1
すれちがい,すれちがい,pertemuan kebetulan,N1
擦れる,すれる,"menggosok, menggesek",N1
すんなり,すんなり,"lulus tanpa keberatan, langsing, ramping",N1
生育,せいいく,"pertumbuhan, perkembangan, pembiakan",N1
成育,せいいく,"pertumbuhan, pemeliharaan",N1
成果,せいか,"hasil, buah",N1
正解,せいかい,"benar, jawaban yang benar, solusi",N1
正義,せいぎ,"keadilan, kebenaran, kebenaran",N1
生計,せいけい,"mata pencaharian, kehidupan",N1
政権,せいけん,"administrasi (politik), kekuasaan politik",N1
星座,せいざ,rasi bintang,N1
制裁,せいさい,"pengekangan, sanksi, hukuman",N1
政策,せいさく,"tindakan politik, kebijakan",N1
生死,せいし,hidup dan mati,N1
静止,せいし,"keheningan, istirahat, berdiri diam",N1
誠実,せいじつ,"tulus, jujur, setia",N1
成熟,せいじゅく,"kematangan, kematangan",N1
青春,せいしゅん,"pemuda, musim semi kehidupan, remaja",N1
清純,せいじゅん,"kemurnian, kepolosan",N1
聖書,せいしょ,Alkitab,N1
正常,せいじょう,"normal, normalitas, normal",N1
制する,せいする,"mengontrol, memerintah",N1
整然,せいぜん,"teratur, teratur, terorganisir dengan baik",N1
盛装,せいそう,"berdandan, memakai pakaian mewah",N1
盛大,せいだい,"megah, makmur, megah",N1
清濁,せいだく,"baik dan jahat, kemurnian dan ketidakmurnian",N1
制定,せいてい,"pemberlakuan, pendirian, penciptaan",N1
静的,せいてき,statis,N1
製鉄,せいてつ,pembuatan besi,N1
晴天,せいてん,cuaca cerah,N1
正当,せいとう,"adil, pantas, pantas",N1
制服,せいふく,seragam,N1
征服,せいふく,"penaklukan, penaklukan, mengatasi",N1
製法,せいほう,"metode pembuatan, resep, formula",N1
精密,せいみつ,"tepat, tepat, rinci, kecil",N1
税務署,ぜいむしょ,kantor pajak,N1
制約,せいやく,"batasan, kendala",N1
勢力,せいりょく,"pengaruh, kekuatan, kekuasaan, kekuatan",N1
整列,せいれつ,"berbaris, membentuk barisan",N1
セール,セール,penjualan,N1
急かす,せかす,"terburu-buru, mendesak",N1
伜,せがれ,"anak laki-laki, anak laki-laki saya",N1
責務,せきむ,"tugas, kewajiban",N1
セクション,セクション,bagian,N1
世辞,せじ,"rayuan, pujian",N1
世帯,せたい,rumah tangga,N1
是正,ぜせい,"koreksi, revisi",N1
世代,せだい,generasi,N1
切開,せっかい,"membuka, memotong",N1
セックス,セックス,seks,N1
切実,せつじつ,"memaksa, serius, parah, akut",N1
接触,せっしょく,"sentuhan, kontak",N1
接続詞,せつぞくし,kata sambung,N1
設置,せっち,"pendirian, institusi",N1
折衷,せっちゅう,"kompromi, silang, perpaduan, eklektisisme",N1
設定,せってい,"pendirian, penciptaan",N1
説得,せっとく,persuasi,N1
切ない,せつない,"menyakitkan, mencoba, sedih",N1
絶版,ぜっぱん,habis cetak,N1
設立,せつりつ,"pendirian, yayasan, institusi",N1
攻め,せめ,"serangan, pelanggaran",N1
ゼリー,ゼリー,jeli,N1
セレモニー,セレモニー,upacara,N1
世論,せろん,opini publik,N1
先,せん,"prioritas, didahulukan, sebelumnya",N1
繊維,せんい,"serat, serat, tekstil",N1
全快,ぜんかい,pemulihan kesehatan total,N1
宣教,せんきょう,misi keagamaan,N1
宣言,せんげん,"deklarasi, proklamasi, pengumuman",N1
戦災,せんさい,kerusakan perang,N1
専修,せんしゅう,spesialisasi,N1
戦術,せんじゅつ,taktik,N1
センス,センス,"indra (untuk musik, gaya, kebijaksanaan, dll.)",N1
潜水,せんすい,menyelam,N1
全盛,ぜんせい,puncak kemakmuran,N1
先代,せんだい,"pendahulu keluarga, zaman sebelumnya, generasi sebelumnya",N1
先だって,せんだって,"baru-baru ini, tempo hari",N1
先着,せんちゃく,kedatangan pertama,N1
前提,ぜんてい,"pembukaan, premis, prasyarat",N1
先天的,せんてんてき,"bawaan, kongenital, turun-temurun",N1
前途,ぜんと,"prospek masa depan, pandangan, perjalanan ke depan",N1
戦闘,せんとう,"pertempuran, pertarungan, pertempuran",N1
潜入,せんにゅう,"infiltrasi, menyelinap masuk",N1
船舶,せんぱく,kapal,N1
全滅,ぜんめつ,pemusnahan,N1
専用,せんよう,"penggunaan eksklusif, penggunaan pribadi",N1
占領,せんりょう,"pendudukan, kepemilikan, memiliki kamar untuk diri sendiri",N1
善良,ぜんりょう,"kebaikan, keunggulan, kebajikan",N1
戦力,せんりょく,potensi perang,N1
前例,ぜんれい,preseden,N1
相応,そうおう,"kesesuaian, kecocokan",N1
総会,そうかい,rapat umum,N1
創刊,そうかん,"peluncuran (misalnya, surat kabar, edisi pertama)",N1
雑木,ぞうき,"berbagai jenis pohon kecil, aneka pohon",N1
早急,そうきゅう,mendesak,N1
早急,さっきゅう,mendesak,N1
増強,ぞうきょう,"memperkuat, meningkatkan",N1
送金,そうきん,"pengiriman uang, mengirim uang",N1
走行,そうこう,"menjalankan kendaraan beroda (misalnya, mobil, bepergian)",N1
総合,そうごう,"sintesis, generalisasi",N1
捜索,そうさく,"pencarian (terutama untuk seseorang atau sesuatu yang hilang, penyelidikan)",N1
